date,clean,bad,total,ratio,z
20191017,5018,80,5098,0.01569242840329541,1.3171724002270557
20191018,4380,34,4414,0.007702763932940644,-0.49981962649546835
20191019,1648,12,1660,0.007228915662650603,-0.6075811641905593
20191020,1966,12,1978,0.006066734074823054,-0.8718819601152992
20191021,5042,87,5129,0.01696237083252096,1.6059799311141445
20191022,5112,66,5178,0.012746234067207415,0.6471553253286344
20191023,5271,43,5314,0.008091832894241625,-0.41133841390485903
20191024,4983,46,5029,0.00914694770332074,-0.1713865107320739
20191025,4197,53,4250,0.012470588235294117,0.5844685528560075
20191026,1610,8,1618,0.004944375772558714,-1.1271262314995245
20191027,2128,22,2150,0.010232558139534883,0.07550064129375748
20191028,4556,46,4602,0.009995654063450673,0.021624434233968166
20191029,4845,40,4885,0.008188331627430911,-0.3893928829699447
20191030,5040,50,5090,0.009823182711198428,-0.017598623635753156
20191031,4987,49,5036,0.009729944400317712,-0.038802676457237215
20191101,4076,34,4110,0.00827250608272506,-0.37025011237041927
20191102,1639,19,1658,0.011459589867310011,0.354549514269017
20191103,2064,13,2077,0.006259027443428021,-0.8281510226218343
20191104,4809,28,4837,0.005788712011577424,-0.935109129922572
20191105,4824,47,4871,0.009648942722233628,-0.057223901000023385
20191106,5124,37,5161,0.007169153264871149,-0.6211721980401029
20191107,4989,40,5029,0.007953867568104992,-0.44271418675296526
20191108,4268,25,4293,0.0058234334963894714,-0.9272128457552524
20191109,1687,7,1694,0.004132231404958678,-1.3118223280567993
20191110,2311,14,2325,0.006021505376344086,-0.8821677718437199
20191111,4946,29,4975,0.005829145728643216,-0.9259137823842746
20191112,5031,41,5072,0.008083596214511041,-0.4132115816020345
20191113,4997,36,5033,0.007152791575601033,-0.6248931376437395
20191114,5552,26,5578,0.004661168877733955,-1.1915325243693653
20191115,4376,26,4402,0.005906406179009541,-0.9083433796699325
20191116,1545,16,1561,0.010249839846252402,0.07943080925392645
20191117,2171,20,2191,0.009128251939753538,-0.17563826040956523
20191118,4979,52,5031,0.0103359173126615,0.09900635848082175
20191119,5262,35,5297,0.006607513686992637,-0.7488990429762767
20191120,5154,37,5191,0.00712772105567328,-0.6305946204761586
20191121,5074,50,5124,0.00975800156128025,-0.03242197825012731
20191122,4233,52,4285,0.012135355892648775,0.5082307463816321
20191123,1657,8,1665,0.004804804804804805,-1.1588671558539534
20191124,2244,12,2256,0.005319148936170213,-1.0418961379657676
20191125,5370,28,5398,0.005187106335679882,-1.0719249774957444
20191126,5099,33,5132,0.006430241621200311,-0.7892138686238904
20191127,5102,43,5145,0.008357628765792031,-0.35089169788382857
20191128,5057,42,5099,0.008236909197881937,-0.3783454780989931
20191129,3931,36,3967,0.009074867658179985,-0.18777879701549713
20191130,1527,13,1540,0.008441558441558441,-0.33180459450936084
20191201,2091,13,2104,0.006178707224334601,-0.8464172712507797
20191202,5270,30,5300,0.005660377358490566,-0.9642947161604216
20191203,5943,44,5987,0.007349256722899616,-0.5802134633601784
20191204,5857,34,5891,0.0057715158716686475,-0.9390198384661641
20191205,6394,29,6423,0.004515024132025533,-1.2247684429345167
20191206,4936,24,4960,0.004838709677419355,-1.1511565838472988
20191207,1913,19,1932,0.009834368530020704,-0.015054769173797796
20191208,2420,13,2433,0.005343197698314837,-1.0364270210546054
20191209,6001,32,6033,0.005304160450853639,-1.0453047865284093
