cp_name,cp_name_masked,clean,bad,total,ratio
중앙일보,ᄌᄋᄋᄇ,20279,383,20662,0.018536443713096505
동아일보,ᄃᄋᄋᄇ,11031,185,11216,0.016494293865905847
국민일보,ᄀᄆᄋᄇ,16102,266,16368,0.016251221896383186
문화일보,ᄆᄒᄋᄇ,7143,118,7261,0.016251205068172427
우먼동아일보,ᄋᄆᄃᄋᄋᄇ,493,8,501,0.015968063872255488
세계일보,ᄉᄀᄋᄇ,16982,270,17252,0.015650359378622768
조선일보,ᄌᄉᄋᄇ,17261,274,17535,0.015625891074992872
서울신문,ᄉᄋᄉᄆ,18491,282,18773,0.01502157353646194
SBS funE,S○○○○○○○,396,6,402,0.014925373134328358
헤럴드경제,ᄒᄅᄃᄀᄌ,18614,282,18896,0.014923793395427603
아이뉴스24,ᄋᄋᄂᄉ24,1667,24,1691,0.014192785334121822
뉴스1,ᄂᄉ1,108671,1452,110123,0.013185256485929369
노컷뉴스,ᄂᄏᄂᄉ,25774,339,26113,0.012982039597135526
뉴시스,ᄂᄉᄉ,91288,1151,92439,0.01245145447267928
경향신문,ᄀᄒᄉᄆ,15374,187,15561,0.012017222543538333
기자협회보,ᄀᄌᄒᄒᄇ,346,4,350,0.011428571428571429
이데일리,ᄋᄃᄋᄅ,19336,215,19551,0.010996879954989514
머니투데이,ᄆᄂᄐᄃᄋ,25288,281,25569,0.010989870546364739
중앙SUNDAY,ᄌᄋ○○○○○○,466,5,471,0.010615711252653927
아시아경제,ᄋᄉᄋᄀᄌ,24614,260,24874,0.010452681514834767
채널A,ᄎᄂ○,4124,43,4167,0.010319174466042717
한겨레,ᄒᄀᄅ,9764,101,9865,0.010238215914850482
한국경제,ᄒᄀᄀᄌ,11440,117,11557,0.010123734533183352
프레시안,ᄑᄅᄉᄋ,13582,138,13720,0.010058309037900875
한국일보,ᄒᄀᄋᄇ,19695,190,19885,0.009554940910233845
마리끌레르,ᄆᄅᄁᄅᄅ,214,2,216,0.009259259259259259
서울경제,ᄉᄋᄀᄌ,14528,135,14663,0.009206847166337039
MBN,M○○,7236,67,7303,0.009174311926605505
시사저널,ᄉᄉᄌᄂ,2209,20,2229,0.008972633467922835
시사IN,ᄉᄉ○○,450,4,454,0.00881057268722467
쿠키뉴스,ᄏᄏᄂᄉ,24198,212,24410,0.008684965178205653
신동아,ᄉᄃᄋ,378,3,381,0.007874015748031496
매일경제,ᄆᄋᄀᄌ,5495,43,5538,0.007764535933550018
연합뉴스,ᄋᄒᄂᄉ,110009,851,110860,0.007676348547717842
스포츠조선,ᄉᄑᄎᄌᄉ,1439,11,1450,0.007586206896551724
스포츠경향,ᄉᄑᄎᄀᄒ,1064,8,1072,0.007462686567164179
SBS,S○○,15217,103,15320,0.0067232375979112274
파이낸셜뉴스,ᄑᄋᄂᄉᄂᄉ,23506,157,23663,0.006634830748425812
머니S,ᄆᄂ○,14021,91,14112,0.006448412698412698
연합뉴스TV,ᄋᄒᄂᄉ○○,18620,114,18734,0.006085192697768763
MBC,M○○,19211,99,19310,0.0051268772656654586
JTBC,J○○○,9188,46,9234,0.004981589776911414
YTN,Y○○,33591,151,33742,0.004475134846778496
디지털타임스,ᄃᄌᄐᄐᄋᄉ,2013,9,2022,0.004451038575667656
스포츠동아,ᄉᄑᄎᄃᄋ,452,2,454,0.004405286343612335
일간스포츠,ᄋᄀᄉᄑᄎ,746,3,749,0.004005340453938585
EBS,E○○,1061,4,1065,0.003755868544600939
KBS,K○○,33340,125,33465,0.0037352457791722696
오마이뉴스,ᄋᄆᄋᄂᄉ,11980,38,12018,0.003161923780995174
데일리안,ᄃᄋᄅᄋ,4957,15,4972,0.0030168946098149637
더팩트,ᄃᄑᄐ,3711,11,3722,0.002955400322407308
미디어오늘,ᄆᄃᄋᄋᄂ,1427,4,1431,0.002795248078266946
한겨레21,ᄒᄀᄅ21,282,0,282,0.0
