article_id,rules,comment
20190103153103863,-demonize,괴물 메기 잡은 기사
20190130170611248,-demonize,손혜원이 괴물이라는 동생 발언
20190212095902122,-trivialize,홧김에 동물학대
20190722050305610,-porn,용어의 문제를 지적
20191115154601258,-trivialize,홧김에 형이 동생 살해
20191203205819291,-molka,감시 카메라라는 의미
20200120210215899,-molka,감시 카메라라는 의미
20200208084830654,-molka,예능 몰카와 같은 의미
20200212204615340,-molka,예능 몰카와 같은 의미
20200217201839070,-molka,예능 몰카와 같은 의미
20200311180545170,-trivialize,홧김에 형이 동생 살해
20200325104846456,-trivialize,홧김에 형이 동생 살해
20200328112335074,-molka,감시 카메라라는 의미
