date,clean,bad,total,ratio,z
20191016,5409,108,5517,0.01957585644371941,2.1788535093395747
20191017,5020,78,5098,0.015300117693213025,1.22339408650987
20191018,4380,34,4414,0.007702763932940644,-0.47431563393627296
20191019,1648,11,1659,0.006630500301386378,-0.7139243776661811
20191020,1967,11,1978,0.005561172901921132,-0.9528769890220667
20191021,5043,86,5129,0.01676740105283681,1.551274201202971
20191022,5113,65,5178,0.012553109308613364,0.6095457672347252
20191023,5273,41,5314,0.0077154685735792245,-0.4714766464957144
20191024,4985,44,5029,0.00874925432491549,-0.24046619545159004
20191025,4198,52,4250,0.01223529411764706,0.5385265734424912
20191026,1612,6,1618,0.003708281829419036,-1.3669252595085406
20191027,2130,20,2150,0.009302325581395349,-0.11687652490930976
20191028,4559,43,4602,0.009343763581051717,-0.10761676196654296
20191029,4846,39,4885,0.007983623336745137,-0.4115546049039086
20191030,5042,48,5090,0.009430255402750491,-0.08828924200756197
20191031,4989,47,5036,0.009332803812549643,-0.11006583911984161
20191101,4077,33,4110,0.008029197080291971,-0.401370665882777
20191102,1641,17,1658,0.010253317249698432,0.09563270531555139
20191103,2065,12,2077,0.005777563793933558,-0.9045221364803133
20191104,4811,26,4837,0.0053752325821790365,-0.9944273364469446
20191105,4824,47,4871,0.009648942722233628,-0.03942122825700557
20191106,5124,37,5161,0.007169153264871149,-0.593556628458932
20191107,4989,40,5029,0.007953867568104992,-0.41820384873981903
20191108,4268,25,4293,0.0058234334963894714,-0.8942720622846654
20191109,1687,7,1694,0.004132231404958678,-1.2721892056029946
20191110,2311,14,2325,0.006021505376344086,-0.8500107883521041
20191111,4946,29,4975,0.005829145728643216,-0.8929956030689133
20191112,5035,37,5072,0.007294952681388012,-0.5654454072382058
20191113,4998,35,5033,0.006954102920723227,-0.6416119212839597
20191114,5552,26,5578,0.004661168877733955,-1.1539924864065714
20191115,4377,25,4402,0.005679236710586098,-0.9264943718729847
20191116,1545,16,1561,0.010249839846252402,0.09485564243043092
20191117,2172,19,2191,0.00867183934276586,-0.2577653988124824
20191118,4979,52,5031,0.0103359173126615,0.1140905702810016
20191119,5263,32,5295,0.006043437204910292,-0.8451098873648804
20191120,5155,36,5191,0.00693507994606049,-0.6458628078446997
20191121,5074,50,5124,0.00975800156128025,-0.015050867603510827
20191122,4235,50,4285,0.011668611435239206,0.4118952846162336
20191123,1657,8,1665,0.004804804804804805,-1.1218955066833667
20191124,2244,12,2256,0.005319148936170213,-1.0069598252570784
20191125,5370,28,5398,0.005187106335679882,-1.0364661525177143
20191126,5101,31,5132,0.006040530007794232,-0.8457595315645486
20191127,5102,43,5145,0.008357628765792031,-0.3279791031663435
20191128,5057,42,5099,0.008236909197881937,-0.3549551780413506
20191129,3931,36,3967,0.009074867658179985,-0.16770442359878332
20191130,1527,13,1540,0.008441558441558441,-0.30922412204020217
20191201,2091,13,2104,0.006178707224334601,-0.8148823589243259
20191202,5270,30,5300,0.005660377358490566,-0.930708695226114
20191203,5946,41,5987,0.006848171037247369,-0.6652835303674473
20191204,5858,33,5891,0.005601765404854863,-0.9438061613388548
20191205,6394,29,6423,0.004515024132025533,-1.1866500884098803
20191206,4936,24,4960,0.004838709677419355,-1.1143191013158553
20191207,1913,19,1932,0.009834368530020704,0.002014145984460743
20191208,2420,13,2433,0.005343197698314837,-1.0015858728855143
20191209,6002,31,6033,0.005138405436764462,-1.0473488877558073
20191210,6410,54,6464,0.008353960396039604,-0.3287988395092069
20191211,6180,65,6245,0.010408326661329063,0.13027121145726434
20191212,6315,64,6379,0.010032920520457752,0.04638270572450651
20191213,5129,39,5168,0.0075464396284829725,-0.5092479669029895
20191214,1914,12,1926,0.006230529595015576,-0.8033020975309824
20191215,2496,17,2513,0.006764822920811779,-0.6839085558590213
20191216,6443,32,6475,0.004942084942084942,-1.091218795970831
20191217,6527,47,6574,0.007149376331000912,-0.5979759952452586
20191218,5959,63,6022,0.010461640650946529,0.14218479100948078
20191219,5758,67,5825,0.011502145922746782,0.3746967905622584
20191220,4680,32,4712,0.006791171477079796,-0.6780206899642085
20191221,1775,7,1782,0.003928170594837262,-1.3177887698508521
20191222,2425,24,2449,0.009799918334013884,-0.005684117710707346
20191223,5758,53,5811,0.009120633281707107,-0.15747760694973365
20191224,5277,41,5318,0.0077096652877021435,-0.47277345261465115
20191225,2733,10,2743,0.0036456434560699965,-1.3809224720463684
20191226,5329,47,5376,0.008742559523809524,-0.24196222015607144
20191227,4825,36,4861,0.00740588356305287,-0.540656718697087
20191228,1809,19,1828,0.010393873085339168,0.1270414057607644
20191229,2396,22,2418,0.009098428453267164,-0.1624395126701774
20191230,5953,38,5991,0.006342847604740444,-0.7782034404316931
20191231,4635,22,4657,0.004724071290530384,-1.1399362714383499
20200101,3250,14,3264,0.00428921568627451,-1.237109393768935
20200102,5666,46,5712,0.008053221288515405,-0.39600220034676065
20200103,4654,26,4680,0.005555555555555556,-0.9541322449741879
20200104,1788,12,1800,0.006666666666666667,-0.7058426176446033
20200105,2395,20,2415,0.008281573498964804,-0.3449744636376294
20200106,5436,91,5527,0.016464628188890898,1.483616375803794
20200107,5890,47,5937,0.007916456122620852,-0.42656383521122543
20200108,6166,54,6220,0.008681672025723473,-0.25556818094400613
20200109,5989,65,6054,0.010736703006276842,0.2036504077371059
20200110,4971,43,5014,0.008575987235739928,-0.2791845743514841
20200111,1953,15,1968,0.007621951219512195,-0.49237409658685083
20200112,2528,13,2541,0.005116096025186935,-1.0523341636936812
20200113,5913,56,5969,0.00938180599765455,-0.0991157782696123
20200114,5025,23,5048,0.0045562599049128365,-1.177435515195328
20200115,5023,31,5054,0.006133755441234665,-0.8249273142506408
20200116,4842,31,4873,0.0063615842396880775,-0.7740165395339905
20200117,4531,37,4568,0.008099824868651488,-0.3855881333569695
20200118,1708,8,1716,0.004662004662004662,-1.1538057214979798
20200119,2143,14,2157,0.006490496059341678,-0.7452098186398365
20200120,5433,49,5482,0.00893834367019336,-0.19821216468765618
20200121,5591,33,5624,0.005867709815078236,-0.884378046684582
20200122,5531,21,5552,0.003782420749279539,-1.3503581272040364
20200123,4421,59,4480,0.013169642857142857,0.747316763735242
20200124,2223,26,2249,0.011560693641618497,0.38777990273194823
20200125,1724,8,1732,0.004618937644341801,-1.1634295058871171
20200126,1773,11,1784,0.00616591928251121,-0.8177399609030037
20200127,2780,35,2815,0.012433392539964476,0.5827937785490842
20200128,5985,116,6101,0.019013276512047206,2.053139023919379
20200129,6175,73,6248,0.011683738796414853,0.41527565479813683
20200130,6335,50,6385,0.007830853563038372,-0.4456926400666987
20200131,5284,29,5313,0.005458309806135893,-0.9758628447687027
20200201,1954,21,1975,0.010632911392405063,0.18045706472176185
20200202,2771,28,2799,0.010003572704537335,0.039824623274470665
20200203,5469,54,5523,0.00977729494839761,-0.01073955449594578
20200204,5462,76,5538,0.013723365836041893,0.8710520686024442
20200205,5695,68,5763,0.011799410029498525,0.4411236254177253
20200206,5785,77,5862,0.013135448652337086,0.7396757040039914
20200207,4665,41,4706,0.008712282192945177,-0.2487280126332303
20200208,1774,36,1810,0.019889502762430938,2.2489411241671378
