cp_name,cp_name_masked,clean,bad,total,ratio
중앙일보,ᄌᄋᄋᄇ,20334,376,20710,0.018155480444229842
동아일보,ᄃᄋᄋᄇ,11125,188,11313,0.01661805003093786
국민일보,ᄀᄆᄋᄇ,16127,264,16391,0.016106399853578184
세계일보,ᄉᄀᄋᄇ,17011,267,17278,0.015453177451093876
조선일보,ᄌᄉᄋᄇ,17295,268,17563,0.015259352046916815
서울신문,ᄉᄋᄉᄆ,18486,284,18770,0.015130527437400107
문화일보,ᄆᄒᄋᄇ,7159,108,7267,0.014861703591578368
헤럴드경제,ᄒᄅᄃᄀᄌ,18649,275,18924,0.014531811456351722
아이뉴스24,ᄋᄋᄂᄉ24,1649,24,1673,0.01434548714883443
뉴스1,ᄂᄉ1,109019,1447,110466,0.013099053102312023
노컷뉴스,ᄂᄏᄂᄉ,25904,341,26245,0.012992951038293009
SBS funE,S○○○○○○○,393,5,398,0.01256281407035176
뉴시스,ᄂᄉᄉ,91541,1147,92688,0.012374848955636113
우먼동아일보,ᄋᄆᄃᄋᄋᄇ,491,6,497,0.012072434607645875
경향신문,ᄀᄒᄉᄆ,15433,183,15616,0.01171875
머니투데이,ᄆᄂᄐᄃᄋ,25435,285,25720,0.011080870917573872
기자협회보,ᄀᄌᄒᄒᄇ,358,4,362,0.011049723756906077
이데일리,ᄋᄃᄋᄅ,19326,208,19534,0.010648100747414764
중앙SUNDAY,ᄌᄋ○○○○○○,466,5,471,0.010615711252653927
한국경제,ᄒᄀᄀᄌ,11485,122,11607,0.010510898595675024
한겨레,ᄒᄀᄅ,9761,102,9863,0.010341681030112541
아시아경제,ᄋᄉᄋᄀᄌ,24715,255,24970,0.010212254705646776
채널A,ᄎᄂ○,4146,42,4188,0.01002865329512894
프레시안,ᄑᄅᄉᄋ,13925,139,14064,0.009883390216154721
한국일보,ᄒᄀᄋᄇ,19750,191,19941,0.009578255854771575
서울경제,ᄉᄋᄀᄌ,14616,137,14753,0.009286246865044397
MBN,M○○,7256,68,7324,0.009284543965046422
마리끌레르,ᄆᄅᄁᄅᄅ,218,2,220,0.00909090909090909
시사저널,ᄉᄉᄌᄂ,2233,20,2253,0.00887705281846427
쿠키뉴스,ᄏᄏᄂᄉ,24240,210,24450,0.008588957055214725
스포츠경향,ᄉᄑᄎᄀᄒ,1080,9,1089,0.008264462809917356
스포츠조선,ᄉᄑᄎᄌᄉ,1459,12,1471,0.008157715839564922
신동아,ᄉᄃᄋ,373,3,376,0.007978723404255319
매일경제,ᄆᄋᄀᄌ,5513,43,5556,0.007739380849532037
연합뉴스,ᄋᄒᄂᄉ,109891,851,110742,0.007684528002022719
파이낸셜뉴스,ᄑᄋᄂᄉᄂᄉ,23522,156,23678,0.006588394290058282
머니S,ᄆᄂ○,14057,93,14150,0.00657243816254417
SBS,S○○,15315,101,15416,0.006551634665282823
연합뉴스TV,ᄋᄒᄂᄉ○○,18709,112,18821,0.005950799638701451
MBC,M○○,19308,101,19409,0.0052037714462362826
JTBC,J○○○,9251,45,9296,0.0048407917383821
시사IN,ᄉᄉ○○,450,2,452,0.004424778761061947
디지털타임스,ᄃᄌᄐᄐᄋᄉ,2033,9,2042,0.004407443682664055
스포츠동아,ᄉᄑᄎᄃᄋ,452,2,454,0.004405286343612335
YTN,Y○○,33715,149,33864,0.004399952752185211
일간스포츠,ᄋᄀᄉᄑᄎ,745,3,748,0.004010695187165776
KBS,K○○,33184,131,33315,0.003932162689479214
EBS,E○○,1081,4,1085,0.003686635944700461
데일리안,ᄃᄋᄅᄋ,4892,16,4908,0.0032599837000814994
오마이뉴스,ᄋᄆᄋᄂᄉ,11979,38,12017,0.0031621869018889906
더팩트,ᄃᄑᄐ,3710,11,3721,0.002956194571351787
미디어오늘,ᄆᄃᄋᄋᄂ,1434,4,1438,0.0027816411682892906
전자신문,ᄌᄌᄉᄆ,2702,7,2709,0.002583979328165375
한겨레21,ᄒᄀᄅ21,278,0,278,0.0
